trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
704,False,"{'a': 0.002, 'e': 0.2446320583319975}",20,0,24.47279329889623,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
705,False,"{'a': 0.002, 'e': 0.2441432831534371}",20,0,8.187572715127196,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
706,False,"{'a': 0.002, 'e': 0.24365548454833488}",20,1,-29.619055244703926,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
707,False,"{'a': 0.002, 'e': 0.2431686605654957}",30,19,18.861247249642883,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
708,False,"{'a': 0.002, 'e': 0.242682809257623}",25,14,6.677918464058092,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
709,False,"{'a': 0.002, 'e': 0.2421979286813109}",30,0,-12.370476453603688,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
710,False,"{'a': 0.002, 'e': 0.24171401689703648}",25,4,25.906632344434023,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
711,False,"{'a': 0.002, 'e': 0.24123107196915192}",25,20,9.679711672696167,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.002, 'e': 0.24074909196587688}",25,0,-65.58964078583347,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
713,False,"{'a': 0.002, 'e': 0.2402680749592907}",25,14,17.201119884392778,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.002, 'e': 0.23978801902532473}",20,10,-0.5116362313024587,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
715,False,"{'a': 0.002, 'e': 0.23930892224375455}",20,4,-34.72464629379922,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
716,False,"{'a': 0.002, 'e': 0.23883078269819244}",30,20,7.7900001897574604,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
717,False,"{'a': 0.002, 'e': 0.23835359847607956}",30,18,5.599764632688638,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
718,False,"{'a': 0.002, 'e': 0.23787736766867842}",20,1,9.159444246892614,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
719,False,"{'a': 0.002, 'e': 0.23740208837106508}",25,11,-0.6728133438828898,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
720,False,"{'a': 0.002, 'e': 0.2369277586821218}",20,10,0.41890473346434876,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
721,False,"{'a': 0.002, 'e': 0.23645437670452912}",35,14,20.49699542441436,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
722,False,"{'a': 0.002, 'e': 0.23598194054475854}",25,11,-6.430817540178712,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
723,False,"{'a': 0.002, 'e': 0.23551044831306478}",25,0,6.24804512611561,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
724,False,"{'a': 0.002, 'e': 0.23503989812347828}",35,8,-0.7134358761474129,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 0}",1
725,False,"{'a': 0.002, 'e': 0.23457028809379768}",30,22,15.811988536635813,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'a': 0.002, 'e': 0.23410161634558221}",25,14,17.307479478276726,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
727,False,"{'a': 0.002, 'e': 0.23363388100414426}",20,0,18.34016580811186,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
728,False,"{'a': 0.002, 'e': 0.23316708019854182}",20,3,-40.72167369923567,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
729,False,"{'a': 0.002, 'e': 0.23270121206157107}",30,13,-11.647055242967735,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
730,False,"{'a': 0.002, 'e': 0.23223627472975886}",25,15,11.205147943637225,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
731,False,"{'a': 0.002, 'e': 0.23177226634335518}",20,0,1.2622260012065636,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
732,False,"{'a': 0.002, 'e': 0.23130918504632592}",30,0,2.419252822002801,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
733,False,"{'a': 0.002, 'e': 0.23084702898634527}",25,11,-2.097530429697972,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
